id,age,margins,districts_and_neighborhoods,periods,municipality,region_type,big_or_small,underweight,overweight,severe_overweight,smoker,drinker,heavy_drinker,severe_drinker,one_or_more_long-term_conditions,restricted_because_of_health,long-term_illnesses_and-limited,moderate_high-risk_anxiety_depression,lonely,very_serious_lonely,emotionally_lonely,experienced_health_good_very_good,weekly_athletes,visual_restriction,motor_restriction,socially_lonely,normal_weight,complies_with_alcohol_directive,severely_restricted-due_to_health,comply_with_exercise_guideline,high-risk_anxiety_depression,hearing_restriction
156533,53115,MW00000,BU04820101,2020JJ00,Alblasserdam                            ,Buurt     ,S,2.3,50.3,13.9,14.0,82.1,7.0,4.9,25.3,21.7,20.1,41.9,39.0,7.2,21.3,85.9,52.4,3.1,3.7,23.9,47.8,46.3,3.2,50.4,5.2,2.1
156536,53115,MW00000,BU04820102,2020JJ00,Alblasserdam                            ,Buurt     ,S,2.0,57.2,20.6,22.1,73.9,6.6,4.8,33.2,30.0,28.9,49.5,49.3,13.8,31.6,76.5,40.4,6.1,9.4,31.4,41.2,54.2,5.7,46.0,9.0,4.2
156539,53115,MW00000,BU04820103,2020JJ00,Alblasserdam                            ,Buurt     ,S,2.1,52.1,16.0,17.8,80.4,6.7,4.7,26.4,23.0,21.8,45.3,41.2,9.1,24.5,83.8,48.2,3.9,4.5,25.2,45.6,49.4,3.5,49.0,6.7,2.8
156542,53115,MW00000,BU04820104,2020JJ00,Alblasserdam                            ,Buurt     ,S,2.2,48.8,13.8,15.5,83.4,6.9,5.2,23.5,20.6,19.5,40.8,37.6,7.5,21.7,86.8,50.9,2.9,3.2,22.5,48.8,47.0,2.5,50.3,5.0,2.2
156545,53115,MW00000,BU04820105,2020JJ00,Alblasserdam                            ,Buurt     ,S,1.8,52.0,15.5,14.9,79.0,5.9,4.5,25.7,22.5,21.0,42.1,40.3,8.4,22.5,85.1,50.1,3.8,4.3,24.7,46.6,49.3,2.6,48.2,5.4,2.5
156551,53115,MW00000,BU04820201,2020JJ00,Alblasserdam                            ,Buurt     ,S,2.0,50.1,14.3,13.9,84.5,7.1,5.0,24.3,21.0,19.5,40.5,37.2,6.9,19.8,86.6,52.2,2.8,3.0,23.2,47.8,44.6,2.7,50.1,4.6,2.0
156554,53115,MW00000,BU04820202,2020JJ00,Alblasserdam                            ,Buurt     ,S,1.8,54.8,17.9,20.7,78.9,7.3,4.8,28.6,26.4,24.8,48.2,45.8,11.8,28.3,80.5,46.8,4.4,6.2,29.4,43.8,48.2,4.2,47.6,7.9,3.7
156557,53115,MW00000,BU04820203,2020JJ00,Alblasserdam                            ,Buurt     ,S,2.0,54.6,16.7,16.4,78.1,6.4,4.4,27.9,25.0,23.9,44.2,42.0,9.7,24.0,82.9,48.7,4.8,5.4,26.7,43.8,51.0,3.9,47.3,6.8,2.8
156563,53115,MW00000,BU04820205,2020JJ00,Alblasserdam                            ,Buurt     ,S,2.1,55.2,18.3,20.8,76.0,6.6,4.6,30.1,28.4,26.7,49.5,45.4,12.0,28.0,79.2,45.0,4.4,7.0,29.0,42.9,52.1,5.0,46.6,8.5,4.2
156566,53115,MW00000,BU04820206,2020JJ00,Alblasserdam                            ,Buurt     ,S,2.2,52.8,16.6,18.2,77.7,6.6,4.0,26.0,24.2,22.4,46.9,41.6,9.8,24.3,82.5,48.3,4.3,5.8,25.9,44.8,50.6,4.0,48.8,7.4,3.6
