underweight,overweight,severe_overweight,drinker,heavy_drinker,severe_drinker,one_or_more_long-term_conditions,restricted_because_of_health,long-term_illnesses_and-limited,moderate_high-risk_anxiety_depression,lonely,very_serious_lonely,emotionally_lonely,experienced_health_good_very_good,weekly_athletes,visual_restriction,motor_restriction,socially_lonely,normal_weight,complies_with_alcohol_directive,severely_restricted-due_to_health,comply_with_exercise_guideline,high-risk_anxiety_depression,hearing_restriction,big_small,smoker_p
2.3,50.3,13.9,82.1,7.0,4.9,25.3,21.7,20.1,41.9,39.0,7.2,21.3,85.9,52.4,3.1,3.7,23.9,47.8,46.3,3.2,50.4,5.2,2.1,0,14.0
2.0,57.2,20.6,73.9,6.6,4.8,33.2,30.0,28.9,49.5,49.3,13.8,31.6,76.5,40.4,6.1,9.4,31.4,41.2,54.2,5.7,46.0,9.0,4.2,0,22.1
2.1,52.1,16.0,80.4,6.7,4.7,26.4,23.0,21.8,45.3,41.2,9.1,24.5,83.8,48.2,3.9,4.5,25.2,45.6,49.4,3.5,49.0,6.7,2.8,0,17.8
2.2,48.8,13.8,83.4,6.9,5.2,23.5,20.6,19.5,40.8,37.6,7.5,21.7,86.8,50.9,2.9,3.2,22.5,48.8,47.0,2.5,50.3,5.0,2.2,0,15.5
1.8,52.0,15.5,79.0,5.9,4.5,25.7,22.5,21.0,42.1,40.3,8.4,22.5,85.1,50.1,3.8,4.3,24.7,46.6,49.3,2.6,48.2,5.4,2.5,0,14.9
2.0,50.1,14.3,84.5,7.1,5.0,24.3,21.0,19.5,40.5,37.2,6.9,19.8,86.6,52.2,2.8,3.0,23.2,47.8,44.6,2.7,50.1,4.6,2.0,0,13.9
1.8,54.8,17.9,78.9,7.3,4.8,28.6,26.4,24.8,48.2,45.8,11.8,28.3,80.5,46.8,4.4,6.2,29.4,43.8,48.2,4.2,47.6,7.9,3.7,0,20.7
2.0,54.6,16.7,78.1,6.4,4.4,27.9,25.0,23.9,44.2,42.0,9.7,24.0,82.9,48.7,4.8,5.4,26.7,43.8,51.0,3.9,47.3,6.8,2.8,0,16.4
2.1,55.2,18.3,76.0,6.6,4.6,30.1,28.4,26.7,49.5,45.4,12.0,28.0,79.2,45.0,4.4,7.0,29.0,42.9,52.1,5.0,46.6,8.5,4.2,0,20.8
2.2,52.8,16.6,77.7,6.6,4.0,26.0,24.2,22.4,46.9,41.6,9.8,24.3,82.5,48.3,4.3,5.8,25.9,44.8,50.6,4.0,48.8,7.4,3.6,0,18.2
2.0,52.7,16.0,83.2,6.5,4.7,26.3,23.8,22.1,42.3,39.6,8.5,22.1,85.0,50.6,3.6,4.5,24.6,45.3,46.9,2.9,48.5,5.7,2.7,0,14.9
1.9,51.0,14.4,81.9,6.9,4.9,26.9,23.3,22.0,41.4,39.1,7.6,21.1,85.1,51.8,3.6,3.8,23.8,47.2,48.5,2.7,49.1,5.3,2.2,0,13.6
2.1,53.1,16.3,80.4,6.9,4.9,28.7,25.5,23.9,45.0,42.2,9.0,25.1,83.8,47.3,3.6,4.8,25.6,44.3,48.7,3.3,48.2,6.6,2.8,0,16.4
