,id,age,margins,districts_and_neighborhoods,periods,municipality,region_type,underweight,normaalgewicht_8,overweight,severe_overweight,smoker,complies with alcohol directive,drinker,heavy_drinker,severe_drinker,one_or_more_long-term_conditions,restricted_because_of_health,ernstigbeperktvanwegegezondheid_18,long-term_illnesses_and-limited,moderate_high-risk_anxiety_depression, high-risk_anxiety_depression,lonely,very_serious_lonely,emotionally_lonely,experienced_health_good_very_good,voldoetaanbeweegrichtlijn_5,weekly_athletes, hearing_restriction,visual_restriction,motor_restriction,socially_lonely
151,156527,53115,MW00000,GM0482    ,2020JJ00,Alblasserdam                            ,Gemeente  ,2.1,44.6,53.3,16.8,17.9,50.8,77.7,6.6,4.7,27.8,25.2,3.9,23.7,45.9,7.1,43.2,10.3,25.7,82.3,48,46.8,3.4,4.5,5.8,27.1
152,156530,53115,MW00000,WK048201  ,2020JJ00,Alblasserdam                            ,Wijk      ,2.1,46.1,52,15.8,16.8,49.2,80,6.6,4.8,26.5,23.2,3.4,21.9,44,6.2,41.2,9,24.1,83.9,48.8,48.7,2.7,3.9,4.8,25.3
153,156533,53115,MW00000,BU04820101,2020JJ00,Alblasserdam                            ,Buurt     ,2.3,47.8,50.3,13.9,14,46.3,82.1,7,4.9,25.3,21.7,3.2,20.1,41.9,5.2,39,7.2,21.3,85.9,50.4,52.4,2.1,3.1,3.7,23.9
154,156536,53115,MW00000,BU04820102,2020JJ00,Alblasserdam                            ,Buurt     ,2,41.2,57.2,20.6,22.1,54.2,73.9,6.6,4.8,33.2,30,5.7,28.9,49.5,9,49.3,13.8,31.6,76.5,46,40.4,4.2,6.1,9.4,31.4
155,156539,53115,MW00000,BU04820103,2020JJ00,Alblasserdam                            ,Buurt     ,2.1,45.6,52.1,16,17.8,49.4,80.4,6.7,4.7,26.4,23,3.5,21.8,45.3,6.7,41.2,9.1,24.5,83.8,49,48.2,2.8,3.9,4.5,25.2
156,156542,53115,MW00000,BU04820104,2020JJ00,Alblasserdam                            ,Buurt     ,2.2,48.8,48.8,13.8,15.5,47,83.4,6.9,5.2,23.5,20.6,2.5,19.5,40.8,5,37.6,7.5,21.7,86.8,50.3,50.9,2.2,2.9,3.2,22.5
157,156545,53115,MW00000,BU04820105,2020JJ00,Alblasserdam                            ,Buurt     ,1.8,46.6,52,15.5,14.9,49.3,79,5.9,4.5,25.7,22.5,2.6,21,42.1,5.4,40.3,8.4,22.5,85.1,48.2,50.1,2.5,3.8,4.3,24.7
158,156548,53115,MW00000,WK048202  ,2020JJ00,Alblasserdam                            ,Wijk      ,2,44.4,53.8,17.1,18.8,49.2,78.8,6.9,4.6,27.8,25.5,4.1,23.9,46.7,7.3,43.3,10.5,25.8,81.7,47.9,47.7,3.4,4.2,5.7,27.5
159,156551,53115,MW00000,BU04820201,2020JJ00,Alblasserdam                            ,Buurt     ,2,47.8,50.1,14.3,13.9,44.6,84.5,7.1,5,24.3,21,2.7,19.5,40.5,4.6,37.2,6.9,19.8,86.6,50.1,52.2,2,2.8,3,23.2
160,156554,53115,MW00000,BU04820202,2020JJ00,Alblasserdam                            ,Buurt     ,1.8,43.8,54.8,17.9,20.7,48.2,78.9,7.3,4.8,28.6,26.4,4.2,24.8,48.2,7.9,45.8,11.8,28.3,80.5,47.6,46.8,3.7,4.4,6.2,29.4
161,156557,53115,MW00000,BU04820203,2020JJ00,Alblasserdam                            ,Buurt     ,2,43.8,54.6,16.7,16.4,51,78.1,6.4,4.4,27.9,25,3.9,23.9,44.2,6.8,42,9.7,24,82.9,47.3,48.7,2.8,4.8,5.4,26.7
162,156560,53115,MW00000,BU04820204,2020JJ00,Alblasserdam                            ,Buurt     ,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
163,156563,53115,MW00000,BU04820205,2020JJ00,Alblasserdam                            ,Buurt     ,2.1,42.9,55.2,18.3,20.8,52.1,76,6.6,4.6,30.1,28.4,5,26.7,49.5,8.5,45.4,12,28,79.2,46.6,45,4.2,4.4,7,29
164,156566,53115,MW00000,BU04820206,2020JJ00,Alblasserdam                            ,Buurt     ,2.2,44.8,52.8,16.6,18.2,50.6,77.7,6.6,4,26,24.2,4,22.4,46.9,7.4,41.6,9.8,24.3,82.5,48.8,48.3,3.6,4.3,5.8,25.9
165,156569,53115,MW00000,WK048203  ,2020JJ00,Alblasserdam                            ,Wijk      ,2.1,43.6,54.3,17.5,18.1,52.3,75.8,6.4,4.6,28.6,26.2,4,24.6,47,7.5,44.6,10.9,27,81.7,47.4,45.5,3.7,5,6.4,28
166,156572,53115,MW00000,BU04820301,2020JJ00,Alblasserdam                            ,Buurt     ,2,45.3,52.7,16,14.9,46.9,83.2,6.5,4.7,26.3,23.8,2.9,22.1,42.3,5.7,39.6,8.5,22.1,85,48.5,50.6,2.7,3.6,4.5,24.6
167,156575,53115,MW00000,BU04820302,2020JJ00,Alblasserdam                            ,Buurt     ,1.9,47.2,51,14.4,13.6,48.5,81.9,6.9,4.9,26.9,23.3,2.7,22,41.4,5.3,39.1,7.6,21.1,85.1,49.1,51.8,2.2,3.6,3.8,23.8
168,156578,53115,MW00000,BU04820303,2020JJ00,Alblasserdam                            ,Buurt     ,2.1,44.3,53.1,16.3,16.4,48.7,80.4,6.9,4.9,28.7,25.5,3.3,23.9,45,6.6,42.2,9,25.1,83.8,48.2,47.3,2.8,3.6,4.8,25.6
169,156581,53115,MW00000,BU04820304,2020JJ00,Alblasserdam                            ,Buurt     ,2,44.6,53.5,15.6,15.4,47.9,81.7,6.6,4.9,27.8,24.9,3,23.3,41.7,5.9,39.5,8,22.2,83.9,47.9,49.2,2.6,3.4,4.2,23.9
170,156584,53115,MW00000,BU04820305,2020JJ00,Alblasserdam                            ,Buurt     ,2.2,40.7,56.9,19.9,18.4,60,67.1,5.4,4.1,29.8,28,5.2,26.9,49,8.3,46.4,11.8,27.9,79.3,46.3,40.6,4.2,7.4,9.2,29.4
171,156587,53115,MW00000,BU04820306,2020JJ00,Alblasserdam                            ,Buurt     ,2.3,42.7,55,18.9,19.7,54.3,72.5,6.2,4.4,29.5,27.5,4.4,25.4,48.8,7.9,45,11.1,27.8,80.9,46.9,43,3.9,5.3,7.3,27.9
172,156590,53115,MW00000,BU04820307,2020JJ00,Alblasserdam                            ,Buurt     ,2.2,42.5,55.5,18.6,22.5,55.5,71,6.5,4.5,29.6,27.9,5.1,26,52.8,10,52.2,15.4,34.3,78.1,46.3,42.1,5.6,6.3,8.1,34
173,156593,53115,MW00000,WK048204  ,2020JJ00,Alblasserdam                            ,Wijk      ,2.2,45.2,52.2,16.5,18,51.6,77.2,6.8,4.7,27.8,25.5,4,24.3,45.1,7.1,43,10.3,25.3,82,48.1,45.8,3.5,4.8,6.3,27.1
174,156596,53115,MW00000,BU04820401,2020JJ00,Alblasserdam                            ,Buurt     ,1.9,44.2,53.4,16.1,16.8,51.8,77.5,6.4,4.8,27.6,25.1,3.7,23.9,43.3,6,41.4,9.3,23.3,82.6,47.2,44.3,2.9,4.6,5.6,26.4
